,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
226,226,219,Cornell,Ivy,29,15-16,99.5254,104.0181,.3742219,51.1155,50.5162,18.9204,17.4245,18.8352,28.8207,33.9155,26.827,52.381,50.6197,32.9246,33.7133,69.1153,-8.5176
46,46,46,Creighton,BE,32,19-14,112.035,97.570,.830446,56.67,52.9276,18.5171,19137,24.5287,27.2132,29.1280,28.150,55.718,53284,38.516,35.2220,69.9119,-1.970
205,205,199,Dartmouth,Ivy,28,11-19,103.1177,106.4237,.4110199,51.8122,53281,17.6112,16316,23.9304,24.836,24.8335,27.945,50.6158,54.6325,35.898,33.198,67.2261,-12.9255
85,85,83,Davidson,A10,33,24-10,107.595,99.3100,.713083,53.171,48.361,16.757,16.7282,23.3316,24.836,28.3293,3097,52.868,47.360,35.6103,3389,65.9317,-0.860
59,59,58,Dayton,A10,33,21-12,110.947,99.096,.785958,56.110,47.946,18.8194,16.8277,26.9224,27.4142,32.1208,23.85,59.53,47.770,33.2229,32.155,66316,-2.375
93,93,91,DePaul,BE,31,16-15,111.242,104.0180,.685391,52.787,52.8273,19.2222,17.6230,3342,24.627,34.9119,31.3130,52.868,51.2222,34.9146,36.6289,70.786,-4.8118
269,269,260,Delaware,CAA,31,17-16,103.5171,111.8318,.2931260,53.364,52.8273,17.278,14.9342,24.2298,28.8207,31.2232,28.661,50.9143,49.9159,37.833,38.4333,64.6339,-10.9218
364,364,352,Delaware St.,MEAC,29,6-25,84.3352,112.4329,.0355352,40353,52.4253,19209,18.9144,27.8196,31.6296,25.5327,39.2312,37.7353,52.6273,29347,34.7193,71.463,-21.7351
323,323,312,Denver,Sum,29,8-22,98.4267,111.5317,.1911312,50.2194,56.5345,19.7254,15.7321,26.4236,22.98,26.2318,28.352,47.8258,51.7246,36.284,41.8353,68.6190,-16.1314
242,242,234,Detroit,Horz,31,11-20,105.5134,112.0322,.3332234,49.7221,54.4323,16.337,19.888,29.3132,36.4352,31239,32.7174,46.7296,56.2340,35.6103,34.5180,69.9121,-12.4246
122,122,119,Drake,MVC,31,24-9,106.7109,101.5137,.6412119,53.950,48.778,19.2222,16.7282,24.6283,2673,33.4175,29.277,53.750,50.7202,3691,30.116,70.3101,-387
280,280,271,Drexel,CAA,31,13-19,103.3174,112.7333,.2684271,51.3142,55.6337,16.651,14.6347,29.2138,26.386,30.6247,30.3107,50.9143,54.7327,34.7156,38.2332,70.690,-13.5273
