,Unnamed: 0,Most Quadrant 1 Wins,Most Quadrant 1 Wins.1,Most Quadrant 1 Wins.2,Most Quadrant 1 Wins.3,Most Quadrant 1 Wins.4,Most Quadrant 1 Wins.5,Most Quadrant 1 Wins.6,Most Quadrant 1 Wins.7,Most Quadrant 1 Wins.8,Most Quadrant 1 Wins.9,Most Quadrant 1 Wins.10,Most Quadrant 1 Wins.11,Most Quadrant 1 Wins.12,Most Quadrant 1 Wins.13,Most Quadrant 1 Wins.14,Most Quadrant 1 Wins.15,Most Quadrant 1 Wins.16,Most Quadrant 1 Wins.17,Most Quadrant 1 Wins.18,Most Quadrant 1 Wins.19,Most Quadrant 1 Wins.20,Most Quadrant 1 Wins.21,Most Quadrant 1 Wins.22,Most Quadrant 1 Wins.23,Most Quadrant 1 Wins.24,Most Quadrant 1 Wins.25,Most Quadrant 1 Wins.26,Most Quadrant 1 Wins.27,Most Quadrant 1 Wins.28,Most Quadrant 1 Wins.29,Most Quadrant 1 Wins.30,Most Quadrant 1 Wins.31,Most Quadrant 1 Wins.32,Most Quadrant 1 Wins.33,Most Quadrant 1 Wins.34,Most Quadrant 1 Wins.35,Most Quadrant 1 Wins.36,Most Quadrant 1 Wins.37,Most Quadrant 1 Wins.38,Most Quadrant 1 Wins.39,Most Quadrant 1 Wins.40,Most Quadrant 1 Wins.41,Most Quadrant 1 Wins.42,Most Quadrant 1 Wins.43,Most Quadrant 1 Wins.44,Most Quadrant 1 Wins.45,Most Quadrant 1 Wins.46,Most Quadrant 1 Wins.47,Most Quadrant 1 Wins.48,Most Quadrant 1 Wins.49
274,274,125.0,,Fort Wayne,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,83.0,,Fresno State,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,83.0,,Furman,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,125.0,,Gardner-Webb,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,83.0,,George Mason,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,125.0,,George Washington,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,26.0,,Georgetown,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,83.0,,Georgia,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,125.0,,Georgia Southern,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,83.0,,Georgia State,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,44.0,,Georgia Tech,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,21.0,,Gonzaga,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,125.0,,Grambling St.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,192,125.0,,Grand Canyon,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,83.0,,Green Bay,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,193,125.0,,Hampton,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,125.0,,Hartford,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,83.0,,Harvard,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,195,125.0,,Hawaii,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,196,125.0,,High Point,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,197,125.0,,Hofstra,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,198,125.0,,Holy Cross,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,21.0,,Houston,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,199,125.0,,Houston Baptist,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,200,125.0,,Howard,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,207,125.0,,IUPUI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,201,125.0,,Idaho,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,125.0,,Idaho State,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,44.0,,Illinois,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,325,125.0,,Illinois Chicago,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,203,125.0,,Illinois State,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
