,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
329,329,318,Charlotte,CUSA,10,3–7,98.3271,112.5312,.1749318,50.1197,54285,19.9278,19.672,22.7305,27.7174,30.8196,33202,52.770,49.7171,31.4299,40.2329,65.4287,-5.6301
271,271,262,Chattanooga,SC,10,2–8,101.1230,109.9276,.2779262,50.9163,53.5267,18.6223,14.6320,27.5177,30.3257,20.5349,28.584,49.7176,51.4238,34.9155,38.1294,65.5282,-5.9312
365,365,353,Chicago St.,WAC,10,0–10,88.0346,121.3352,.0245353,44.3341,59.7352,21.1320,15.9267,19346,36.7347,29.3230,32.1184,39.3349,58.4346,38.455,40.9342,69.786,-7.4345
33,33,33,"Cincinnati 7 seed, ✅",Amer,10,8–2,110.570,92.327,.887233,44.4339,46.444,16.9120,18.8109,38.83,34.5334,36.861,2430,41343,44.127,34.4175,33.3118,64.3316,2.511
36,36,36,Clemson,ACC,10,5–5,107.0126,89.812,.882936,48.1273,46.139,18.9237,17.3185,27.4181,23.951,29.1239,30.7147,46.2290,43.314,34.5171,33.5122,66.3239,-0.158
247,247,239,Cleveland St.,Horz,10,5–5,104.0166,111.2295,.3174239,54.641,51.4206,16.9120,17.7164,25.8233,35.1338,27287,32.2186,50.3157,53.2291,39.731,32.594,68.5134,-3.3199
211,211,204,Coastal Carolina,SB,10,4–6,102.1208,105.5200,.4059204,48.1273,53.8279,19.1248,17.4181,34.533,24.875,35.685,43.7339,50.8133,53.7300,29.4334,36.1228,71.246,-4.1234
126,126,123,"Colgate 15 seed, ✅",Pat,10,10–0,112.541,108.3252,.6085123,62.51,51.2199,19.8273,18.6115,28.9143,27148,33.5128,25.345,54.535,50.9222,48.91,34.4162,68157,0.936
59,59,58,Colorado,P12,10,7–3,107.2121,94.243,.815358,49.8210,47.157,19.4259,16.2254,34.729,23.238,35.685,29.8119,50163,45.750,33233,33105,66.6221,-0.366
204,204,198,Colorado St.,MWC,10,3–7,105.6142,108.4253,.4250198,56.322,52.1231,17127,16.8212,22.8301,25.8106,24.4324,33.9217,57.413,54.8320,36.5109,31.872,67202,-4.9264
162,162,157,Columbia,Ivy,10,4–6,105.0149,103.8166,.5319157,51.8130,50.3161,17.1132,17.1198,22316,24.462,25.4315,41.8322,50.5144,51.4238,36122,32.491,68.6129,-3.3199
163,163,158,Connecticut,Amer,10,3–7,104.8152,103.6163,.5307158,47.3299,51.2199,18.1196,18.8109,28.9143,34.6335,38.149,31.7173,46.9276,47.595,31.8284,39.1317,66.6221,-2.8178
362,362,350,Coppin St.,MEAC,10,4–6,85.5351,109.1265,.0571350,49.3228,45.630,24.6350,17.5175,26.7203,29.1212,45.39,30126,49.8172,39.42,32.6250,37.1255,70.560,-5.6301
226,226,219,Cornell,Ivy,10,4–6,98.0273,102.8143,.3670219,51.1155,51.1195,20.2292,19.292,16.6351,27.5164,30.3209,26.155,53.946,48.9142,31.6292,36.3235,68.7122,-3.4203
44,44,44,Creighton,BE,10,6–4,106.2137,90.815,.858644,52.1116,50.2152,18.1196,20.841,23.8282,25.8106,28.3262,23.220,52.282,50181,34.6166,33.6130,68.7122,-0.262
217,217,210,Dartmouth,Ivy,10,1–9,101.7219,105.9207,.3861210,49.8210,56.5334,17.7167,19100,22.4309,2111,21347,26.762,52.282,57.7343,30.2318,36.1228,66.6221,-6.7333
97,97,95,Davidson,A10,10,6–4,109.582,102.6140,.677195,53.966,49.3118,17.2136,16.1259,25.8233,24.875,28.3262,29.7116,52.186,4779,37.579,35.1187,65.7272,-1.8126
46,46,46,Dayton,A10,10,6–4,112.344,96.165,.856646,58.19,45.735,20.6305,17.8157,25.6242,28.3191,34.7102,23.220,60.13,48.1116,36.1119,27.57,64.4313,-192
99,99,97,DePaul,BE,10,4–6,114.528,107.7242,.668797,54.253,56.3330,18.1196,15.4292,3438,24.668,36.765,35.8253,51.2109,55.9332,40.417,37.9284,70.464,-2134
292,292,282,Delaware,CAA,10,3–7,102.6199,113.1315,.2452282,53.184,54.9311,16.182,15.8277,22316,30.4259,32.8150,35.2245,50.7138,51.3236,37.675,40.7336,64.1324,-5.5293
364,364,352,Delaware St.,MEAC,10,3–7,82.3353,111.1291,.0306352,40.2353,47.876,19.2253,20.742,30112,34.2331,27.1286,38.4296,41.1341,50181,25.9352,29.727,7148,-6.6331
325,325,314,Denver,Sum,10,2–8,98.7261,112.2308,.1855314,50.5177,56328,17.9180,14.7319,26.6205,2221,28.7249,25.650,51121,49.1152,33.2229,43.5349,67.7170,-6.6331
266,266,257,Detroit,Horz,10,3–7,107.0124,116.1337,.2814257,48.3259,57.9345,16.496,18.2141,31.866,35.6341,36.175,2996,48.9213,59.9351,31.7288,36.7245,69.978,-4.9264
123,123,120,Drake,MVC,10,7–3,109.487,105.0190,.6150120,52.5102,48.485,17.6160,14.6320,25.3249,26.4131,36.861,24.839,50.6141,47.8108,37.675,33.2113,69.978,-1.3102
296,296,286,Drexel,CAA,10,3–7,101.8214,112.4311,.2439286,50.7171,53.8279,16.7112,13.2346,31.373,27.7174,30217,34219,49.6184,55.8330,35.1146,33.2113,67.4185,-5.6301
12,12,13,"Duke 1 seed, ✅",ACC,10,7–3,115.323,90.213,.943913,51.1155,46.546,19.5264,15.3297,32.459,28.1185,32.7153,24.839,57.911,48.5130,26.6350,28.610,71.441,3.18
218,218,211,Duquesne,A10,10,4–6,103.3182,107.7241,.3829211,49.3228,50.2152,17.8173,20.451,30.1106,37.8351,33.6126,30.1129,49.2204,49.6167,33233,34.1150,70.952,-3.8225
253,253,245,East Carolina,Amer,10,1–9,103.3184,110.9288,.3048245,46.4311,55.6325,15.661,19.483,24.2275,34.9337,33.3134,42.9329,44.7320,56334,33.5212,36.6240,66.4233,-5.7306
169,169,164,East Tennessee St.,SC,10,5–5,109.978,109.1266,.5212164,55.331,58346,18.8231,2060,34.631,26.7137,38.942,33.3208,5623,49.3160,36.1119,47.7353,67.7170,-2.5165
310,310,300,Eastern Illinois,OVC,10,1–9,102.2203,114.3324,.2160300,52.4106,55.4319,19.4259,17.7164,29.1140,30.7269,24.3326,36256,49.4192,54.3310,37.869,38288,68157,-7337
297,297,287,Eastern Kentucky,OVC,10,3–7,95.2310,105.2193,.2420287,45.2323,50.4168,16.5102,20.644,26.6205,33.8326,31.6177,36.9275,43.9328,50.6201,31.7288,33.3118,73.211,-5.5293
150,150,146,Eastern Michigan,MAC,10,6–4,99.8250,97.780,.5606146,48.8239,48.693,20.4301,21.723,30.497,31.8294,45.39,33.5212,5289,47.284,28.7340,33.8138,64.2320,-1.7120
193,193,187,Eastern Washington,BSky,10,7–3,101.5224,103.4152,.4472187,52.4106,48.8104,15.661,16.5233,26.3212,19.54,32.3163,30.1129,50.9127,45.346,36.2115,36224,68.1152,-2.1138
270,270,261,Elon,CAA,10,4–6,100.3244,108.9262,.2792261,52.892,53.5267,1540,14.4325,23.7285,25.489,17.5353,27.671,51.5101,49.7171,36122,39.7324,68.2149,-4.5250
330,330,319,Evansville,MVC,10,2–8,96.4297,110.8285,.1674319,48.6247,53.6271,17.8173,17204,21333,2221,35.782,46345,46.4285,50181,34.2184,41.6345,69.1106,-6.2320
195,195,189,FIU,CUSA,10,6–4,101.2228,103.5155,.4370189,48280,50.1149,17127,23.38,26.5208,33.6324,34.7102,28.790,50.1160,48.9142,29.7328,34.5164,74.94,-2.4158
316,316,305,Fairfield,MAAC,10,3–7,91.0339,102.5137,.2017305,48.2267,50.3161,23.6348,23.19,28.4157,29.1212,22.2341,34.1223,47.3268,48.5130,32.9241,36224,66.2246,-6.2320
197,197,191,"Fairleigh Dickinson 16 seed, ✅",NEC,10,9–1,107.2122,109.7272,.4347191,59.17,48.485,20.3295,19.866,33.246,35.9343,3941,21.17,54.142,44.228,462,36.6240,66.1253,-0.468
24,24,25,"Florida 10 seed, ✅",SEC,10,6–4,115.324,94.140,.911825,52.3109,49.3118,17.7167,19100,31.277,31.8294,36.272,31.3162,55.727,49.2156,31.6292,33.1109,60.5351,1.333
306,306,296,Florida A&M,MEAC,10,5–5,87.6348,97.881,.2187296,50.4181,43.76,26.5353,21.329,28.9143,33.2318,31.5182,34219,50.4153,45.851,33.6206,26.24,65.4287,-4.6255
